Country;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Austria;9,6;8,7;9,3;9,8;10,3;8,6;9;9,5;9,9;10,4;10,7;11,1;8,5;8,9
Belgium;21,6;21,7;21,6;21,8;22,1;21,3;22,5;22,6;22,5;22,1;22;21,5;19,5;19,3
Czech Republic;9;9,2;6,6;7,2;6,6;6,9;7,2;8,2;7,8;7,8;8,2;8,5;8,9;9,7
Denmark;26,7;26,6;26,7;26,8;26,5;25,9;34;34,2;34,3;33,8;33,6;33,8;33,7;33,7
Estonia;18,4;16,3;15,8;16,2;15,5;14,9;14,8;15,2;15,5;16;16,2;15,5;15,3;15,3
Finland;18,8;18,8;17,5;17,2;17,7;16,1;15,7;15,5;14,9;15,9;15,8;15,8;15;13,5
France;12,1;12,3;12,4;12,1;12,1;12;12,2;12,4;12,6;12,6;12,6;11,6;10,9;11
Germany;15;14,9;14,9;15,2;15,5;14,8;13,8;13,9;14,2;14,1;14,2;14,2;14,2;14,2
Greece;0;0;0;0;0;0;1,8;6,1;5,7;3,5;3,8;3,5;4,8;4,9
Hungary;10,8;8,7;9;10,1;11;11,7;10,8;12,1;16;16;16;16;15;15
Ireland;9,4;9,1;8,1;6,6;6,4;8,1;5,1;8,6;9,4;9,4;9,6;9,1;8,6;8,5
Italy;13,5;13,9;14,8;14,7;15,6;15,9;16,6;17,2;17,5;17,7;13,8;12,4;12,4;12,5
Luxembourg;6,8;7,3;7,8;8,3;8,1;6,8;7,3;7,8;8,2;9,3;9,7;10;10,2;8,2
Netherlands;3,5;4,2;4,4;4,8;5;5,4;5,3;5,3;5,2;5,6;5,2;7,2;6,3;6,7
Norway;18,8;17,8;17,8;17,9;17,9;17,4;17,8;17,9;17,8;17,8;17;16,9;16,3;16
Poland;4,9;5;5,2;5,5;6;5,5;5,6;5,8;5,9;6;6,2;6,3;6,4;6,4
Portugal;5,8;4,9;5,2;6;6;5,7;5,1;5,2;5,6;8,8;8,4;10,2;10,5;10,6
Slovakia;4,4;4,3;4,9;5,1;5,9;3,8;4,2;5,9;5,9;5,9;6,1;6,3;6,6;7
Slovenia;10,2;8,1;8;7,9;8;7,9;6,6;6,7;6,6;6,5;6,6;6,6;6,7;8,3
Spain;9,2;9,6;10;10;7,8;8,4;11,2;11,5;12;12,1;12,2;10,3;10,3;10,2
Sweden;22,9;22,2;21,5;17,9;16,9;15,8;15;15,1;15,2;15,3;14,8;15;15,3;15,3
United Kingdom;15,4;15,4;15,5;15,6;14,6;14,3;14,4;13,5;13,1;12;11,5;11,2;11,2;11
